date,pre_close,open,high,low,close,volume,amt
2010-06-02,973.2330,967.6090,997.1190,952.6110,997.1190,107462758.0000,4001206160.8000
2010-06-03,997.1190,1002.3550,1026.7020,997.7750,998.3940,161680539.0000,6240835495.9000
2010-06-04,998.3940,989.6810,1027.6810,986.5040,1027.6810,150029501.0000,5269440644.1000
2010-06-07,1027.6810,1005.0280,1075.2250,1001.7020,1069.4680,265527537.0000,9106094723.4000
2010-06-08,1069.4680,1067.3240,1075.5030,1050.9650,1067.1540,197672078.0000,6621994295.3000
2010-06-09,1067.1540,1070.8520,1102.0980,1069.4310,1077.8230,254156809.0000,8994866395.7000
2010-06-10,1077.8230,1077.6750,1119.1060,1076.2810,1117.4780,219740471.0000,8242731100.2000
2010-06-11,1117.4780,1122.4430,1128.2280,1118.7060,1122.1990,222487419.0000,8449039155.9000
2010-06-17,1122.1990,1126.1300,1129.6850,1064.8390,1064.8390,176428356.0000,6757409316.4000
2010-06-18,1064.8390,1052.0670,1053.1380,993.1740,1000.2770,163065095.0000,5827721367.3000
2010-06-21,1000.2770,991.9570,1043.1560,976.4140,1040.8020,157479764.0000,5604269447.3000
2010-06-22,1040.8020,1037.0390,1057.3650,1033.6470,1034.9950,142716206.0000,5067480291.9000
2010-06-23,1034.9950,1026.8650,1056.3480,1023.7370,1047.3370,125735943.0000,4608672511.8000
2010-06-24,1047.3370,1046.7590,1059.7540,1041.5390,1050.6010,106913294.0000,3904947868.9000
2010-06-25,1050.6010,1046.2120,1046.2120,999.1630,1016.2830,123729834.0000,4515664637.2000
2010-06-28,1016.2830,1009.2230,1014.4130,984.2160,987.8270,92067332.0000,3463552184.2000
2010-06-29,987.8270,985.5720,992.2270,912.5400,913.3090,149779969.0000,5293896897.0000
2010-06-30,913.3090,898.2910,921.8100,881.3600,919.3140,122366104.0000,3852158586.3000
2010-07-01,919.3140,914.3950,921.2140,882.1900,882.1900,104957291.0000,3663773721.8000
2010-07-02,882.1900,878.9510,885.3380,832.6230,873.1200,128883350.0000,4212661774.4000
2010-07-05,873.1200,857.3690,870.8630,842.7330,862.2680,91586433.0000,2851736006.9000
2010-07-06,862.2680,859.2580,898.4450,857.7970,893.7180,116523157.0000,3751055713.4000
2010-07-07,893.7180,896.5320,908.5490,890.3360,908.5490,104616296.0000,3342473672.6000
2010-07-08,908.5490,911.9970,914.2960,887.0270,905.5090,109808788.0000,3780698945.1000
2010-07-09,905.5090,903.4960,936.5300,896.8860,932.1470,145146033.0000,4743256780.7000
2010-07-12,932.1470,931.5350,941.0710,924.0580,930.1730,126361753.0000,4188147301.6000
2010-07-13,930.1730,924.9480,936.6440,906.3040,931.0800,146865741.0000,4744135623.1000
2010-07-14,931.0800,929.7490,937.9320,916.0740,922.3620,142358618.0000,4648080329.3000
2010-07-15,922.3620,920.0460,930.5550,892.5570,892.5570,117588081.0000,3960490864.2000
2010-07-16,892.5570,885.0670,895.0560,869.0220,892.2980,100931228.0000,3264221675.0000
2010-07-19,892.2980,881.6560,910.1760,878.0650,908.0490,93880257.0000,2992584133.6000
2010-07-20,908.0490,909.5430,937.5450,909.5430,937.0170,136580867.0000,4559580868.7000
2010-07-21,937.0170,940.0970,959.0380,938.1600,941.2500,166574558.0000,5960654023.4000
2010-07-22,941.2500,938.2180,950.2090,932.0190,950.2090,132660271.0000,4356669335.3000
2010-07-23,950.2090,951.8400,964.7430,948.1260,960.5880,172125133.0000,5339086418.1000
2010-07-26,960.5880,962.7600,966.7320,954.7590,966.1540,147603566.0000,4626044945.0000
2010-07-27,966.1540,963.5440,968.0400,955.7310,957.9670,136182130.0000,4574086800.3000
2010-07-28,957.9670,955.1880,972.5340,954.5210,972.5340,156618268.0000,5187227527.2000
2010-07-29,972.5340,974.2950,982.0150,965.6060,975.3620,179419309.0000,5897853304.3000
2010-07-30,975.3620,971.6630,971.6630,955.9180,968.4310,145848678.0000,5049473241.6000
2010-08-02,968.4310,968.4500,994.2280,968.4500,994.2280,181036429.0000,6104407789.0000
2010-08-03,994.2280,995.1950,996.2630,975.6450,975.6450,175705877.0000,5951414561.6000
2010-08-04,975.6450,971.4070,978.0140,955.9300,978.0140,144616538.0000,4758297320.8000
2010-08-05,978.0140,980.2700,998.1010,978.3330,987.3510,177039972.0000,6033987120.8000
2010-08-06,987.3510,987.9670,1011.3900,985.6300,1011.3900,189906135.0000,6225316745.7000
2010-08-09,1011.3900,1013.2450,1032.3390,1013.2450,1032.3390,209199502.0000,6918898501.5000
2010-08-10,1032.3390,1031.9780,1034.3320,993.9920,993.9920,217707159.0000,7106822601.1000
2010-08-11,993.9920,991.2780,1006.4480,990.9400,1004.6370,161507822.0000,5180189726.5000
