date,pre_close,open,high,low,close,volume,amt
2005-01-05,982.7940,981.5770,997.3230,979.8770,992.5640,711910898.0000,4529208214.0000
2005-01-06,992.5640,993.3310,993.7880,980.3300,983.1740,628802905.0000,3921015420.0000
2005-01-07,983.1740,983.0450,995.7110,979.8120,983.9580,729869409.0000,4737469399.0000
2005-01-10,983.9580,983.7600,993.9590,979.7890,993.8790,579169799.0000,3762932890.0000
2005-01-11,993.8790,994.1890,999.5540,991.0920,997.1350,584907998.0000,3704076709.0000
2005-01-12,997.1350,996.6510,996.9760,989.2570,996.7480,501452509.0000,3093299668.0000
2005-01-13,996.7480,996.0780,999.4730,992.6950,996.8770,604406584.0000,3842173302.0000
2005-01-14,996.8770,996.6170,1006.4630,987.2330,988.3060,729784238.0000,4162921211.0000
2005-01-17,988.3060,979.1110,981.5250,965.0780,967.4520,728818876.0000,4249807837.0000
2005-01-18,967.4520,967.3740,974.8720,960.2930,974.6890,731184782.0000,4117944082.0000
2005-01-19,974.6890,974.3330,974.3330,965.2580,967.2100,633809119.0000,3427951271.0000
2005-01-20,967.2100,963.2130,963.2130,952.2300,956.2450,772710670.0000,4399350604.0000
2005-01-21,956.2450,954.4620,984.2740,943.4390,982.6040,1445005985.0000,8152086067.0000
2005-01-24,982.6040,1001.8540,1001.8540,986.2390,998.1330,1435946161.0000,8360161498.0000
2005-01-25,998.1330,995.6370,997.9510,985.2370,997.7750,986252911.0000,6157022374.0000
2005-01-26,997.7750,995.7800,999.4740,988.4750,989.9280,766329017.0000,4719440425.0000
2005-01-27,989.9280,987.3420,987.7020,973.7710,974.6310,694536497.0000,4094398877.0000
2005-01-28,974.6310,974.6310,975.6240,965.2090,969.2090,574880738.0000,3280950331.0000
2005-01-31,969.2090,965.7850,965.7850,953.1420,954.8790,678870643.0000,3863573594.0000
2005-02-01,954.8790,953.3300,965.4770,952.7410,955.9510,743306676.0000,4275706846.0000
2005-02-02,955.9510,956.7010,1006.9320,956.7010,1006.9130,1705733857.0000,10202904264.0000
2005-02-03,1006.9130,1005.5630,1014.1870,992.1550,993.2150,1697453933.0000,10057310335.0000
2005-02-04,993.2150,992.2500,1021.0250,989.9390,1016.8580,1573621461.0000,9549870633.0000
2005-02-16,1016.8580,1023.3240,1033.2480,1018.4870,1023.5840,1213129305.0000,7438168198.0000
2005-02-17,1023.5840,1024.4300,1024.4300,1010.4760,1020.6060,896829766.0000,5513063259.0000
2005-02-18,1020.6060,1020.1220,1021.1990,1005.6310,1006.0550,813993936.0000,4817732089.0000
2005-02-21,1006.0550,1006.6930,1025.6560,1006.6930,1025.6330,988609416.0000,6052394872.0000
2005-02-22,1025.6330,1026.8370,1048.6780,1024.5270,1046.7440,1793784231.0000,10922776830.0000
2005-02-23,1046.7440,1046.8120,1049.6090,1036.6250,1043.9440,1869692971.0000,11231940742.0000
2005-02-24,1043.9440,1042.2530,1045.9580,1034.7310,1045.4600,1468178853.0000,8993752186.0000
2005-02-25,1045.4600,1046.2740,1059.4830,1045.9820,1046.7610,1817000338.0000,11489961151.0000
2005-02-28,1046.7610,1046.2060,1048.2780,1035.0390,1039.9890,1297104604.0000,8190101348.0000
2005-03-01,1039.9890,1039.3510,1042.7370,1031.1680,1035.9340,996209016.0000,6288790666.0000
2005-03-02,1035.9340,1036.3680,1045.7600,1021.0040,1021.3200,1422513553.0000,8971307887.0000
2005-03-03,1021.3200,1019.8760,1028.4020,1014.7520,1027.7100,920308564.0000,5582811955.0000
2005-03-04,1027.7100,1027.9270,1031.8470,1022.1760,1023.6670,817364167.0000,5383868109.0000
2005-03-07,1023.6670,1024.4800,1031.3440,1024.4800,1029.8710,793294979.0000,5316473234.0000
2005-03-08,1029.8710,1033.7860,1049.2870,1032.8500,1048.9870,1429579380.0000,9851274640.0000
2005-03-09,1048.9870,1051.2600,1054.6400,1041.9820,1046.5440,1532748839.0000,9877624291.0000
2005-03-10,1046.5440,1046.6920,1046.6920,1019.6340,1022.4130,1329595333.0000,8380547671.0000
2005-03-11,1022.4130,1021.0840,1028.1190,1016.9310,1027.4290,1147638146.0000,7654557046.0000
2005-03-14,1027.4290,1027.1750,1041.5730,1014.9250,1031.0260,1446608937.0000,10229428920.0000
2005-03-15,1031.0260,1030.8570,1030.9430,1011.6410,1013.5230,1200749274.0000,8091209214.0000
2005-03-16,1013.5230,1011.8500,1012.1980,995.9670,1003.0650,1062278283.0000,7153745871.0000
2005-03-17,1003.0650,1001.9680,1004.8210,992.1240,992.8630,996901108.0000,6535061285.0000
2005-03-18,992.8630,991.8870,996.3960,975.7050,978.6650,965205964.0000,6314991217.0000
2005-03-21,978.6650,977.2960,983.1780,973.0010,981.8930,725256485.0000,4594519993.0000
2005-03-22,981.8930,981.7070,982.1380,959.5630,964.0240,1137571722.0000,6955307694.0000
2005-03-23,964.0240,962.8160,975.3620,955.9930,959.0100,1093005354.0000,7092055433.0000
2005-03-24,959.0100,957.4300,965.0600,948.5300,964.8010,926071493.0000,6446642565.0000
2005-03-25,964.8010,964.2450,966.9700,959.0570,962.9550,710732285.0000,4258127223.0000
2005-03-28,962.9550,961.6520,961.6520,948.8060,960.6960,666924600.0000,4141656397.0000
2005-03-29,960.6960,960.4190,968.1190,954.7440,955.1900,757737892.0000,4842151125.0000
2005-03-30,955.1900,952.7130,952.7130,936.3750,937.0340,895016409.0000,5459378777.0000
2005-03-31,937.0340,934.8480,942.3650,928.3350,942.2030,785944597.0000,4555322825.0000
2005-04-01,942.2030,941.4310,989.9020,937.5500,978.1450,1634750474.0000,10109402829.0000
2005-04-04,978.1450,968.4900,974.0640,956.1280,962.1680,1143509329.0000,7296500041.0000
2005-04-05,962.1680,960.5400,967.7460,953.5860,955.5980,953453690.0000,6069513997.0000
2005-04-06,955.5980,955.5980,977.8550,948.9480,973.6680,1428242115.0000,9727656052.0000
2005-04-07,973.6680,975.9700,1000.2660,974.3090,984.7330,2075421198.0000,13260560596.0000
2005-04-08,984.7330,984.6650,1003.6990,979.5290,1003.4450,1476252600.0000,9151349808.0000
2005-04-11,1003.4450,1003.8790,1008.7350,992.7730,995.4210,1593606600.0000,10436232248.0000
2005-04-12,995.4210,993.7110,993.7110,978.2040,978.6970,1022619300.0000,6479563495.0000
2005-04-13,978.6970,987.9500,1006.4990,987.9500,1000.9000,1607168700.0000,10029602129.0000
2005-04-14,1000.9000,1004.6400,1006.4160,985.5780,986.9750,1294571000.0000,7813424514.0000
2005-04-15,986.9750,982.6130,982.6130,971.9300,974.0820,1040895500.0000,6541675456.0000
2005-04-18,974.0820,970.9070,970.9070,958.6490,963.7720,859840000.0000,5329138712.0000
2005-04-19,963.7720,962.9160,968.8670,957.9100,965.8860,921262300.0000,5768907755.0000
2005-04-20,965.8860,964.1510,964.1510,946.1970,950.8670,885070500.0000,5300003714.0000
2005-04-21,950.8670,948.8610,955.5530,938.5950,943.9810,994614500.0000,6140646108.0000
2005-04-22,943.9810,942.9080,947.9090,934.9570,939.1010,1069188400.0000,6373550345.0000
2005-04-25,939.1010,935.9930,935.9930,920.1620,930.0700,1147047800.0000,6667303132.0000
2005-04-26,930.0700,928.4280,939.6960,924.6550,937.0830,1169047100.0000,7029373085.0000
